ENCOUNTER ,ENCOUNTER #,DATE,MONTH,D_PERIOD,TIME,HUMAN DETECTOR ,RESEARCH TEAM,GROUP ID,"LOCATION METHOD (AUD, VIS)","VEG. DENSITY (O, D)",END TIME,DURATION ,DURATION MIN,Max-min Dist. ,"ENCOUNTER TYPE          (IG,MO,FL,TH,AV)"
1,KG17701,7/17/2014,JUL,1,6:43,HE,"KT,ER,HE",G,AUD,D,7:16,0:33,33,28,MO
2,KG17702,7/17/2014,JUL,1,7:51,HE,"KT,ER,HE",G,VIS,D,8:30,0:39,39,36,MO
3,KG17703,7/17/2014,JUL,1,9:33,HE,"KT,ER,HE",G,AUD,D,10:40,1:07,67,44,MO
4,KG18701,7/18/2014,JUL,1,7:02,HE,"KT,HE",G,AUD,D,7:30,0:28,28,22,MO
5,KG18702,7/18/2014,JUL,1,7:36,HE,"KT,HE",G,VIS,D,7:58,0:22,22,41,MO
6,KG18703,7/18/2014,JUL,1,8:39,HE,"KT,HE",G,VIS,D,9:54,1:15,75,10,IG
7,KG19701,7/19/2014,JUL,1,7:07,HE,"KT,ER,HE",G,VIS,D,12:00,4:53,293,28,MO
8,KG23701,7/23/2014,JUL,1,7:00,HE,"KT,HE",G,VIS,O,7:53,0:53,53,28,IG
9,KG23702,7/23/2014,JUL,1,9:04,HE,"KT,HE",G,VIS,D,9:24,0:20,20,22,LO/AV
10,KG23703,7/23/2014,JUL,1,10:11,HE,"KT,HE",G,VIS,D,11:31,1:20,80,44,MO
11,KG24701,7/24/2014,JUL,1,7:02,ER,"KT,ER,PH",G,AUD,D,9:23,2:21,141,22,MO
12,KG24702,7/24/2014,JUL,1,4:53,KT,"KT,PH",G,VIS,D,5:19,0:26,26,28,LO/AV
13,KG25701,7/25/2014,JUL,1,9:53,HE,"KT,HE",G,AUD ,O,11:30,1:37,97,22,MO
14,KG26701,7/26/2014,JUL,1,7:35,KT,"KT,PH",G,VIS,O,7:38,0:03,3,30,LO/AV
15,KG26702,7/26/2014,JUL,1,10:35,PH,"KT,PH",G,VIS,O,11:21,0:46,46,22,MO
16,KG30701,7/30/2014,JUL,1,10:05,ER,"KT,ER,PH",G,AUD ,D,11:06,1:01,61,22,IG
17,KG31701,7/31/2014,JUL,1,7:29,HE,"KT,HE",G,AUD ,O,9:55,2:26,146,20,TH
18,KG31702,7/31/2014,JUL,1,10:02,HE,"KT,HE",G,VIS,O,10:15,0:13,13,11,LO/AV
19,KG31703,7/31/2014,JUL,2,5:14,KT,"KT,HE",G,AUD,D,5:35,0:21,21,28,IG
20,KG7801,8/7/2014,AUG,2,8:28,PH,"KT,PH",G,VIS,D,9:20,0:52,52,28,MO
21,KG7802,8/7/2014,AUG,2,9:30,PH,"KT,PH",G,AUD,D,9:43,0:13,13,14,LO/AV
22,KG9801,8/9/2014,AUG,2,7:39,HE,"KT,HE",G,AUD,O,9:50,2:11,131,14,MO
23,KG9802,8/9/2014,AUG,2,10:11,KT,"KT,HE",G,VIS,O,10:59,0:48,48,31,MO
24,KG11801,8/11/2014,AUG,2,8:02,KT,"KT,IC",G,AUD,O,8:23,0:21,21,22,MO
25,KG11802,8/11/2014,AUG,2,9:50,KT,"KT,IC",G,VIS,D,11:59,2:09,129,14,LO/AV
